Measure,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
1,0.4,0,0,0.2,0,0,0,0.2,0.2,0,0,0
2,0.1875,0,0.125,0.0625,0,0,0,0.4375,0,0,0,0.1875
3,0.4,0,0,0.2,0,0,0,0.2,0.2,0,0,0
4,0.1875,0,0.125,0.0625,0,0,0,0.4375,0,0,0,0.1875
5,0.387096774,0,0,0.225806452,0,0,0,0.193548387,0.193548387,0,0,0
6,0.235294118,0,0.176470588,0.058823529,0,0,0,0.323529412,0,0,0.029411765,0.176470588
7,0.363636364,0,0,0.272727273,0,0,0,0.181818182,0.181818182,0,0,0
8,0.25,0,0.15625,0.0625,0,0,0,0.3125,0,0,0,0.21875
9,0.387096774,0,0,0.225806452,0,0,0,0.193548387,0.193548387,0,0,0
10,0.242424242,0,0.151515152,0.090909091,0,0,0,0.303030303,0,0,0,0.212121212
11,0.4,0,0,0.257142857,0,0,0,0.171428571,0.171428571,0,0,0
12,0.25,0,0.15625,0.0625,0,0,0,0.3125,0,0,0,0.21875
13,0.314285714,0,0.028571429,0.228571429,0,0.057142857,0,0.2,0.171428571,0,0,0
14,0.212121212,0,0.181818182,0.090909091,0,0.03030303,0,0.303030303,0,0,0,0.181818182
15,0.382352941,0,0,0.264705882,0,0,0,0.176470588,0.176470588,0,0,0
16,0.25,0,0.15625,0.0625,0,0,0,0.3125,0,0,0,0.21875
17,0.323529412,0,0,0.235294118,0,0.058823529,0,0.205882353,0.176470588,0,0,0
18,0.181818182,0,0.121212121,0.090909091,0,0.03030303,0,0.333333333,0.03030303,0,0.03030303,0.181818182
19,0.333333333,0,0,0.222222222,0,0.055555556,0,0.222222222,0.166666667,0,0,0
20,0.264705882,0,0.117647059,0.088235294,0,0.029411765,0,0.294117647,0,0,0.029411765,0.176470588
21,0.322580645,0,0,0.225806452,0,0,0,0.225806452,0.225806452,0,0,0
22,0.193548387,0,0.161290323,0.096774194,0,0.032258065,0,0.322580645,0,0,0,0.193548387
23,0.323529412,0,0,0.205882353,0,0.058823529,0,0.235294118,0.176470588,0,0,0
24,0.205882353,0,0.117647059,0.117647059,0,0.058823529,0,0.294117647,0,0,0,0.205882353
25,0.3125,0,0,0.25,0,0,0,0.21875,0.21875,0,0,0
26,0,0,0.162162162,0.243243243,0,0.189189189,0,0.081081081,0.081081081,0,0.243243243,0
27,0.159090909,0,0.090909091,0.159090909,0,0.068181818,0,0.25,0.272727273,0,0,0
28,0.24137931,0,0.103448276,0.034482759,0.034482759,0,0,0.344827586,0,0,0,0.24137931
29,0.333333333,0,0,0.333333333,0,0,0,0.222222222,0.111111111,0,0,0
30,0.111111111,0,0.222222222,0.111111111,0,0,0,0.333333333,0,0,0,0.222222222
31,0.333333333,0,0,0.333333333,0,0,0,0.222222222,0.111111111,0,0,0
32,0.111111111,0,0.222222222,0.111111111,0,0,0,0.333333333,0,0,0,0.222222222
33,0.387096774,0,0,0.225806452,0,0,0,0.193548387,0.193548387,0,0,0
34,0.235294118,0,0.176470588,0.058823529,0,0,0,0.323529412,0,0,0.029411765,0.176470588
35,0.363636364,0,0,0.272727273,0,0,0,0.181818182,0.181818182,0,0,0
36,0.25,0,0.15625,0.0625,0,0,0,0.3125,0,0,0,0.21875
